step,mass,mass_err_pct,swiss_cheese,neg_viol,over_viol
492,7797.02,-0.421213,27,0,0
493,7797.18,-0.419205,0,0,0
494,7797.19,-0.419049,0,0,0
495,7796.85,-0.423327,3,0,0
496,7796.7,-0.42531,6,0,0
497,7796.85,-0.423314,33,0,0
498,7796.77,-0.424331,6,0,0
499,7796.83,-0.423595,6,0,0
500,7796.83,-0.42367,6,0,0
501,7796.91,-0.422647,9,0,0
502,7796.91,-0.422566,15,0,0
503,7797.11,-0.420065,15,0,0
504,7797.09,-0.420315,9,0,0
505,7797.2,-0.418943,9,0,0
506,7797.13,-0.419853,6,0,0
507,7797.06,-0.420695,18,0,0
508,7797.02,-0.42125,12,0,0
509,7797.11,-0.420034,9,0,0
510,7797.13,-0.419847,3,0,0
511,7797.21,-0.41875,15,0,0
512,7797.36,-0.416916,15,0,0
513,7797.51,-0.415002,12,0,0
514,7797.55,-0.414434,9,0,0
515,7797.65,-0.413137,3,0,0
516,7797.63,-0.413468,15,0,0
517,7797.72,-0.41232,12,0,0
518,7797.87,-0.410337,12,0,0
519,7798.01,-0.408585,6,0,0
520,7798.12,-0.407138,6,0,0
521,7798.2,-0.406109,18,0,0
522,7798.26,-0.405423,3,0,0
523,7798.31,-0.404687,24,0,0
524,7798.42,-0.403371,6,0,0
525,7798.47,-0.402654,12,0,0
526,7798.48,-0.402498,9,0,0
527,7798.76,-0.398956,12,0,0
528,7798.75,-0.399137,12,0,0
529,7798.82,-0.39822,3,0,0
530,7798.94,-0.39668,12,0,0
531,7798.99,-0.396082,3,0,0
532,7799.04,-0.395433,18,0,0
533,7799.23,-0.39297,12,0,0
534,7799.37,-0.391149,15,0,0
535,7799.61,-0.388093,12,0,0
536,7799.68,-0.387251,3,0,0
537,7799.83,-0.385318,9,0,0
538,7800.08,-0.382057,18,0,0
539,7800.26,-0.379862,6,0,0
540,7800.38,-0.378228,9,0,0
541,7800.55,-0.376108,6,0,0
542,7800.84,-0.372447,12,0,0
543,7800.93,-0.371287,12,0,0
544,7801.11,-0.368911,12,0,0
545,7801.53,-0.363642,9,0,0
546,7801.69,-0.361571,9,0,0
547,7801.86,-0.359364,15,0,0
548,7802.08,-0.356545,12,0,0
549,7802.3,-0.353776,9,0,0
550,7802.61,-0.349823,6,0,0
551,7802.96,-0.345283,15,0,0
552,7803.28,-0.341217,9,0,0
553,7803.64,-0.336683,18,0,0
554,7803.8,-0.334613,3,0,0
555,7804.06,-0.331277,9,0,0
556,7804.18,-0.329793,9,0,0
557,7804.63,-0.324068,15,0,0
558,7804.88,-0.320769,12,0,0
559,7805.26,-0.316011,12,0,0
560,7805.65,-0.311003,3,0,0
561,7805.87,-0.308222,15,0,0
562,7806.2,-0.303988,12,0,0
563,7806.6,-0.298893,6,0,0
564,7806.76,-0.29676,12,0,0
565,7807.18,-0.291453,6,0,0
566,7807.41,-0.288541,15,0,0
567,7807.74,-0.284282,15,0,0
568,7807.99,-0.281158,9,0,0
569,7808.31,-0.277029,6,0,0
570,7808.64,-0.27277,12,0,0
571,7809.09,-0.267077,12,0,0
572,7809.32,-0.264059,9,0,0
573,7809.53,-0.261377,15,0,0
574,7809.73,-0.258845,0,0,0
575,7809.95,-0.256083,12,0,0
576,7810.01,-0.255347,18,0,0
577,7810.2,-0.252859,9,0,0
578,7810.3,-0.251549,6,0,0
579,7810.36,-0.250794,6,0,0
580,7810.46,-0.249516,12,0,0
581,7810.75,-0.245868,18,0,0
582,7810.83,-0.244808,9,0,0
583,7810.89,-0.244041,6,0,0
584,7810.84,-0.244658,9,0,0
585,7810.74,-0.245943,3,0,0
586,7810.62,-0.247452,15,0,0
587,7810.48,-0.24926,12,0,0
588,7810.3,-0.25158,15,0,0
589,7810.24,-0.252385,6,0,0
590,7810.12,-0.253888,6,0,0
591,7810.04,-0.254954,18,0,0
592,7810.04,-0.254923,24,0,0
593,7810.2,-0.252815,6,0,0
594,7810.12,-0.253831,6,0,0
595,7810.01,-0.255253,6,0,0
596,7809.84,-0.257529,9,0,0
597,7809.58,-0.26076,6,0,0
598,7809.18,-0.265848,6,0,0
599,7808.94,-0.268997,21,0,0
600,7808.42,-0.27562,9,0,0
601,7808.31,-0.277023,12,0,0
602,7807.93,-0.281887,9,0,0
603,7807.74,-0.284301,12,0,0
604,7807.35,-0.289227,12,0,0
605,7807.33,-0.289576,6,0,0
606,7806.98,-0.294041,15,0,0
607,7806.92,-0.294796,12,0,0
608,7806.63,-0.298481,12,0,0
609,7806.38,-0.301631,15,0,0
610,7806.18,-0.30425,6,0,0
611,7806.03,-0.306114,12,0,0
612,7805.6,-0.311683,3,0,0
613,7805.2,-0.316672,15,0,0
614,7804.7,-0.323114,9,0,0
615,7804.27,-0.328583,9,0,0
616,7803.77,-0.334981,12,0,0
617,7803.54,-0.337993,9,0,0
618,7803.13,-0.343188,9,0,0
619,7802.9,-0.346112,15,0,0
620,7802.57,-0.350278,12,0,0
621,7802.15,-0.355647,9,0,0
622,7801.57,-0.363143,12,0,0
623,7801.15,-0.368412,9,0,0
624,7800.55,-0.376176,9,0,0
625,7800.23,-0.380192,6,0,0
626,7799.58,-0.388548,12,0,0
627,7799.12,-0.394348,9,0,0
628,7798.73,-0.399412,12,0,0
629,7798.5,-0.402268,12,0,0
630,7797.97,-0.409046,9,0,0
631,7797.6,-0.413804,6,0,0
632,7797.13,-0.419841,15,0,0
633,7796.63,-0.426183,3,0,0
634,7796.17,-0.432076,15,0,0
635,7795.73,-0.437626,3,0,0
636,7795.33,-0.442771,6,0,0
637,7795.07,-0.446157,24,0,0
638,7794.76,-0.450011,3,0,0
639,7794.56,-0.452655,15,0,0
640,7794.08,-0.458741,9,0,0
641,7793.77,-0.46277,12,0,0
642,7793.1,-0.471276,6,0,0
643,7792.74,-0.475896,9,0,0
644,7792.28,-0.481777,12,0,0
645,7791.86,-0.487134,12,0,0
646,7791.4,-0.492933,6,0,0
647,7791.11,-0.496656,12,0,0
648,7790.63,-0.502805,6,0,0
649,7790.22,-0.508081,9,0,0
650,7789.56,-0.516431,9,0,0
651,7789.31,-0.519698,15,0,0
652,7788.68,-0.527712,15,0,0
653,7788.4,-0.531354,6,0,0
654,7787.98,-0.53661,6,0,0
655,7787.76,-0.539504,12,0,0
656,7787.28,-0.545572,9,0,0
657,7786.96,-0.549706,9,0,0
658,7786.47,-0.555923,15,0,0
659,7786.29,-0.558293,9,0,0
660,7785.83,-0.564055,6,0,0
661,7785.71,-0.565608,15,0,0
662,7785.41,-0.56953,6,0,0
663,7785.05,-0.57407,9,0,0
664,7784.67,-0.578978,12,0,0
665,7784.47,-0.581473,12,0,0
666,7784.19,-0.585102,9,0,0
667,7784.08,-0.586449,6,0,0
668,7783.86,-0.589268,15,0,0
669,7783.73,-0.590951,9,0,0
670,7783.38,-0.595391,6,0,0
671,7783.29,-0.596576,15,0,0
672,7783.08,-0.599214,12,0,0
673,7782.95,-0.600935,6,0,0
674,7782.75,-0.603498,6,0,0
675,7782.73,-0.603698,12,0,0
676,7782.44,-0.607446,9,0,0
677,7782.26,-0.609765,15,0,0
678,7782,-0.613083,9,0,0
679,7781.92,-0.614031,9,0,0
680,7781.76,-0.616058,6,0,0
681,7781.59,-0.618203,6,0,0
682,7781.54,-0.618876,12,0,0
683,7781.53,-0.619076,15,0,0
684,7781.36,-0.621252,6,0,0
685,7781.22,-0.622955,9,0,0
686,7781.2,-0.623279,18,0,0
687,7781.24,-0.62268,9,0,0
688,7781.21,-0.623123,15,0,0
689,7781.14,-0.623959,12,0,0
690,7781.19,-0.623397,9,0,0
691,7781.3,-0.621994,12,0,0
692,7781.15,-0.623853,3,0,0
693,7780.95,-0.626472,6,0,0
694,7780.48,-0.632377,9,0,0
695,7780.41,-0.633313,6,0,0
696,7780.36,-0.633911,18,0,0
697,7780.62,-0.630675,9,0,0
698,7780.5,-0.632128,9,0,0
699,7780.61,-0.630762,12,0,0
700,7780.63,-0.630513,15,0,0
701,7780.81,-0.62818,9,0,0
702,7780.7,-0.629646,6,0,0
