step,du_rel,dT_rel,u_max,ux_surf_max
438000,0.000000e+00,2.792969e-01,0.000000e+00,0.000000e+00
440000,0.000000e+00,2.656250e-01,0.000000e+00,0.000000e+00
442000,0.000000e+00,2.539062e-01,0.000000e+00,0.000000e+00
444000,0.000000e+00,2.578125e-01,0.000000e+00,0.000000e+00
446000,0.000000e+00,2.480469e-01,0.000000e+00,0.000000e+00
448000,0.000000e+00,2.441406e-01,0.000000e+00,0.000000e+00
450000,0.000000e+00,2.382812e-01,0.000000e+00,0.000000e+00
452000,0.000000e+00,2.636719e-01,0.000000e+00,0.000000e+00
454000,0.000000e+00,2.519531e-01,0.000000e+00,0.000000e+00
456000,0.000000e+00,2.207031e-01,0.000000e+00,0.000000e+00
458000,0.000000e+00,2.382812e-01,0.000000e+00,0.000000e+00
460000,0.000000e+00,2.343750e-01,0.000000e+00,0.000000e+00
462000,0.000000e+00,2.167969e-01,0.000000e+00,0.000000e+00
464000,0.000000e+00,2.324219e-01,0.000000e+00,0.000000e+00
466000,0.000000e+00,2.304688e-01,0.000000e+00,0.000000e+00
468000,0.000000e+00,2.207031e-01,0.000000e+00,0.000000e+00
470000,0.000000e+00,2.148438e-01,0.000000e+00,0.000000e+00
472000,0.000000e+00,2.128906e-01,0.000000e+00,0.000000e+00
474000,0.000000e+00,2.031250e-01,0.000000e+00,0.000000e+00
476000,0.000000e+00,2.226562e-01,0.000000e+00,0.000000e+00
478000,0.000000e+00,2.050781e-01,0.000000e+00,0.000000e+00
480000,0.000000e+00,2.128906e-01,0.000000e+00,0.000000e+00
482000,0.000000e+00,2.148438e-01,0.000000e+00,0.000000e+00
484000,0.000000e+00,2.050781e-01,0.000000e+00,0.000000e+00
486000,0.000000e+00,1.914062e-01,0.000000e+00,0.000000e+00
488000,0.000000e+00,1.855469e-01,0.000000e+00,0.000000e+00
490000,0.000000e+00,1.855469e-01,0.000000e+00,0.000000e+00
492000,0.000000e+00,1.738281e-01,0.000000e+00,0.000000e+00
494000,0.000000e+00,1.992188e-01,0.000000e+00,0.000000e+00
496000,0.000000e+00,1.894531e-01,0.000000e+00,0.000000e+00
498000,0.000000e+00,1.914062e-01,0.000000e+00,0.000000e+00
500000,0.000000e+00,1.875000e-01,0.000000e+00,0.000000e+00
