ix,iy,x,y,T,ux,uy,rho
98,3,0.989899,0.030303,6872.22,0,0,nan
99,3,1,0.030303,0,0,0,nan
0,4,0,0.040404,1,0,0,nan
1,4,0.010101,0.040404,4339.4,0,0,nan
2,4,0.020202,0.040404,12956.4,0,0,nan
3,4,0.030303,0.040404,19476.2,0,0,nan
4,4,0.040404,0.040404,24997.7,0,0,nan
5,4,0.050505,0.040404,29045.6,0,0,nan
6,4,0.0606061,0.040404,31959,0,0,nan
7,4,0.0707071,0.040404,34321.1,0,0,nan
8,4,0.0808081,0.040404,36072,0,0,nan
9,4,0.0909091,0.040404,37559.3,0,0,nan
10,4,0.10101,0.040404,38715,0,0,nan
11,4,0.111111,0.040404,39720.3,0,0,nan
12,4,0.121212,0.040404,40534.8,0,0,nan
13,4,0.131313,0.040404,41253.2,0,0,nan
14,4,0.141414,0.040404,41855.1,0,0,nan
15,4,0.151515,0.040404,42391.3,0,0,nan
16,4,0.161616,0.040404,42852.1,0,0,nan
17,4,0.171717,0.040404,43265.9,0,0,nan
18,4,0.181818,0.040404,43628.5,0,0,nan
19,4,0.191919,0.040404,43956.1,0,0,nan
20,4,0.20202,0.040404,44247.4,0,0,nan
21,4,0.212121,0.040404,44512.1,0,0,nan
22,4,0.222222,0.040404,44750,0,0,nan
23,4,0.232323,0.040404,44967.2,0,0,nan
24,4,0.242424,0.040404,45164,0,0,nan
25,4,0.252525,0.040404,45344.3,0,0,nan
26,4,0.262626,0.040404,45508.6,0,0,nan
27,4,0.272727,0.040404,45659.5,0,0,nan
28,4,0.282828,0.040404,45797.6,0,0,nan
29,4,0.292929,0.040404,45924.5,0,0,nan
30,4,0.30303,0.040404,46040.9,0,0,nan
31,4,0.313131,0.040404,46147.9,0,0,nan
32,4,0.323232,0.040404,46246,0,0,nan
33,4,0.333333,0.040404,46336.1,0,0,nan
34,4,0.343434,0.040404,46418.6,0,0,nan
35,4,0.353535,0.040404,46494.1,0,0,nan
36,4,0.363636,0.040404,46562.9,0,0,nan
37,4,0.373737,0.040404,46625.6,0,0,nan
38,4,0.383838,0.040404,46682.3,0,0,nan
39,4,0.393939,0.040404,46733.4,0,0,nan
40,4,0.40404,0.040404,46779.2,0,0,nan
41,4,0.414141,0.040404,46819.8,0,0,nan
42,4,0.424242,0.040404,46855.6,0,0,nan
43,4,0.434343,0.040404,46886.5,0,0,nan
44,4,0.444444,0.040404,46912.8,0,0,nan
45,4,0.454545,0.040404,46934.5,0,0,nan
46,4,0.464646,0.040404,46951.8,0,0,nan
47,4,0.474747,0.040404,46964.8,0,0,nan
48,4,0.484848,0.040404,46973.5,0,0,nan
49,4,0.494949,0.040404,46977.9,0,0,nan
50,4,0.50505,0.040404,46978.1,0,0,nan
51,4,0.515152,0.040404,46973.9,0,0,nan
52,4,0.525253,0.040404,46965.6,0,0,nan
53,4,0.535354,0.040404,46952.9,0,0,nan
54,4,0.545455,0.040404,46935.9,0,0,nan
55,4,0.555556,0.040404,46914.4,0,0,nan
56,4,0.565657,0.040404,46888.4,0,0,nan
57,4,0.575758,0.040404,46857.8,0,0,nan
58,4,0.585859,0.040404,46822.4,0,0,nan
59,4,0.59596,0.040404,46782,0,0,nan
60,4,0.606061,0.040404,46736.5,0,0,nan
61,4,0.616162,0.040404,46685.6,0,0,nan
62,4,0.626263,0.040404,46629.1,0,0,nan
63,4,0.636364,0.040404,46566.7,0,0,nan
64,4,0.646465,0.040404,46498.1,0,0,nan
65,4,0.656566,0.040404,46422.8,0,0,nan
66,4,0.666667,0.040404,46340.5,0,0,nan
67,4,0.676768,0.040404,46250.5,0,0,nan
68,4,0.686869,0.040404,46152.5,0,0,nan
69,4,0.69697,0.040404,46045.6,0,0,nan
70,4,0.707071,0.040404,45929.3,0,0,nan
71,4,0.717172,0.040404,45802.5,0,0,nan
72,4,0.727273,0.040404,45664.4,0,0,nan
73,4,0.737374,0.040404,45513.6,0,0,nan
74,4,0.747475,0.040404,45349.3,0,0,nan
75,4,0.757576,0.040404,45168.9,0,0,nan
76,4,0.767677,0.040404,44972.1,0,0,nan
77,4,0.777778,0.040404,44754.9,0,0,nan
78,4,0.787879,0.040404,44516.8,0,0,nan
79,4,0.79798,0.040404,44252.1,0,0,nan
80,4,0.808081,0.040404,43960.6,0,0,nan
81,4,0.818182,0.040404,43632.9,0,0,nan
82,4,0.828283,0.040404,43270.2,0,0,nan
83,4,0.838384,0.040404,42856.3,0,0,nan
84,4,0.848485,0.040404,42395.3,0,0,nan
85,4,0.858586,0.040404,41858.9,0,0,nan
86,4,0.868687,0.040404,41256.8,0,0,nan
87,4,0.878788,0.040404,40538,0,0,nan
