x_um,T_K,fl,T_analytical,front_analytical_um,time_ms,snapshot
80.2005,1878.1,0.00215929,1878,21.5242,1,2
85.213,1878.02,0.000382487,1878,21.5242,1,2
90.2256,1878,5.42535e-06,1878,21.5242,1,2
95.2381,1878,0,1878,21.5242,1,2
100.251,1878,0,1878,21.5242,1,2
105.263,1878,0,1878,21.5242,1,2
110.276,1878,2.71267e-06,1878,21.5242,1,2
115.288,1878,0,1878,21.5242,1,2
120.301,1878,0,1878,21.5242,1,2
125.313,1878,0,1878,21.5242,1,2
130.326,1878,0,1878,21.5242,1,2
135.338,1878,0,1878,21.5242,1,2
140.351,1878,0,1878,21.5242,1,2
145.363,1878,0,1878,21.5242,1,2
150.376,1878,0,1878,21.5242,1,2
155.388,1878,0,1878,21.5242,1,2
160.401,1878,0,1878,21.5242,1,2
165.414,1878,0,1878,21.5242,1,2
170.426,1878,0,1878,21.5242,1,2
175.439,1878,0,1878,21.5242,1,2
180.451,1878,0,1878,21.5242,1,2
185.464,1878,0,1878,21.5242,1,2
190.476,1878,0,1878,21.5242,1,2
195.489,1878,0,1878,21.5242,1,2
200.501,1878,0,1878,21.5242,1,2
205.514,1878,0,1878,21.5242,1,2
210.526,1878,0,1878,21.5242,1,2
215.539,1878,0,1878,21.5242,1,2
220.551,1878,0,1878,21.5242,1,2
225.564,1878,0,1878,21.5242,1,2
230.576,1878,0,1878,21.5242,1,2
235.589,1878,0,1878,21.5242,1,2
240.602,1878,0,1878,21.5242,1,2
245.614,1878,0,1878,21.5242,1,2
250.627,1878,0,1878,21.5242,1,2
255.639,1878,0,1878,21.5242,1,2
260.652,1878,0,1878,21.5242,1,2
265.664,1878,0,1878,21.5242,1,2
270.677,1878,0,1878,21.5242,1,2
275.689,1878,0,1878,21.5242,1,2
280.702,1878,0,1878,21.5242,1,2
285.714,1878,0,1878,21.5242,1,2
290.727,1878,0,1878,21.5242,1,2
295.739,1878,0,1878,21.5242,1,2
300.752,1878,0,1878,21.5242,1,2
305.764,1878,0,1878,21.5242,1,2
310.777,1878,0,1878,21.5242,1,2
315.789,1878,0,1878,21.5242,1,2
320.802,1878,0,1878,21.5242,1,2
325.815,1878,0,1878,21.5242,1,2
330.827,1878,0,1878,21.5242,1,2
335.84,1878,0,1878,21.5242,1,2
340.852,1878,0,1878,21.5242,1,2
345.865,1878,0,1878,21.5242,1,2
350.877,1878,0,1878,21.5242,1,2
355.89,1878,0,1878,21.5242,1,2
360.902,1878,0,1878,21.5242,1,2
365.915,1878,0,1878,21.5242,1,2
370.927,1878,0,1878,21.5242,1,2
375.94,1878,0,1878,21.5242,1,2
380.952,1878,0,1878,21.5242,1,2
385.965,1878,0,1878,21.5242,1,2
390.977,1878,0,1878,21.5242,1,2
395.99,1878,0,1878,21.5242,1,2
401.003,1878,0,1878,21.5242,1,2
406.015,1878,0,1878,21.5242,1,2
411.028,1878,0,1878,21.5242,1,2
416.04,1878,0,1878,21.5242,1,2
421.053,1878,0,1878,21.5242,1,2
426.065,1878,0,1878,21.5242,1,2
431.078,1878,0,1878,21.5242,1,2
436.09,1878,0,1878,21.5242,1,2
441.103,1878,0,1878,21.5242,1,2
446.115,1878,0,1878,21.5242,1,2
451.128,1878,0,1878,21.5242,1,2
456.14,1878,0,1878,21.5242,1,2
461.153,1878,0,1878,21.5242,1,2
466.165,1878,0,1878,21.5242,1,2
471.178,1878,0,1878,21.5242,1,2
476.19,1878,0,1878,21.5242,1,2
481.203,1878,0,1878,21.5242,1,2
486.216,1878,0,1878,21.5242,1,2
491.228,1878,0,1878,21.5242,1,2
496.241,1878,0,1878,21.5242,1,2
501.253,1878,0,1878,21.5242,1,2
506.266,1878,0,1878,21.5242,1,2
511.278,1878,0,1878,21.5242,1,2
516.291,1878,0,1878,21.5242,1,2
521.303,1878,0,1878,21.5242,1,2
526.316,1878,0,1878,21.5242,1,2
531.328,1878,0,1878,21.5242,1,2
536.341,1878,0,1878,21.5242,1,2
541.353,1878,0,1878,21.5242,1,2
546.366,1878,0,1878,21.5242,1,2
551.378,1878,0,1878,21.5242,1,2
556.391,1878,0,1878,21.5242,1,2
561.404,1878,0,1878,21.5242,1,2
566.416,1878,0,1878,21.5242,1,2
571.429,1878,0,1878,21.5242,1,2
576.441,1878,0,1878,21.5242,1,2
581.454,1878,0,1878,21.5242,1,2
586.466,1878,0,1878,21.5242,1,2
591.479,1878,0,1878,21.5242,1,2
596.491,1878,0,1878,21.5242,1,2
601.504,1878,0,1878,21.5242,1,2
606.516,1878,0,1878,21.5242,1,2
611.529,1878,0,1878,21.5242,1,2
616.541,1878,0,1878,21.5242,1,2
621.554,1878,0,1878,21.5242,1,2
626.566,1878,0,1878,21.5242,1,2
631.579,1878,0,1878,21.5242,1,2
636.591,1878,0,1878,21.5242,1,2
641.604,1878,0,1878,21.5242,1,2
646.617,1878,0,1878,21.5242,1,2
651.629,1878,0,1878,21.5242,1,2
656.642,1878,0,1878,21.5242,1,2
661.654,1878,0,1878,21.5242,1,2
666.667,1878,0,1878,21.5242,1,2
671.679,1878,0,1878,21.5242,1,2
676.692,1878,0,1878,21.5242,1,2
681.704,1878,0,1878,21.5242,1,2
686.717,1878,0,1878,21.5242,1,2
691.729,1878,0,1878,21.5242,1,2
696.742,1878,0,1878,21.5242,1,2
701.754,1878,0,1878,21.5242,1,2
706.767,1878,0,1878,21.5242,1,2
711.779,1878,0,1878,21.5242,1,2
716.792,1878,0,1878,21.5242,1,2
721.805,1878,0,1878,21.5242,1,2
726.817,1878,0,1878,21.5242,1,2
731.83,1878,0,1878,21.5242,1,2
736.842,1878,0,1878,21.5242,1,2
741.855,1878,0,1878,21.5242,1,2
746.867,1878,0,1878,21.5242,1,2
751.88,1878,0,1878,21.5242,1,2
756.892,1878,0,1878,21.5242,1,2
761.905,1878,0,1878,21.5242,1,2
766.917,1878,0,1878,21.5242,1,2
771.93,1878,0,1878,21.5242,1,2
776.942,1878,0,1878,21.5242,1,2
781.955,1878,0,1878,21.5242,1,2
786.967,1878,0,1878,21.5242,1,2
791.98,1878,0,1878,21.5242,1,2
796.992,1878,0,1878,21.5242,1,2
802.005,1878,0,1878,21.5242,1,2
807.018,1878,0,1878,21.5242,1,2
812.03,1878,0,1878,21.5242,1,2
817.043,1878,0,1878,21.5242,1,2
822.055,1878,0,1878,21.5242,1,2
827.068,1878,0,1878,21.5242,1,2
832.08,1878,0,1878,21.5242,1,2
837.093,1878,0,1878,21.5242,1,2
842.105,1878,0,1878,21.5242,1,2
847.118,1878,0,1878,21.5242,1,2
852.13,1878,0,1878,21.5242,1,2
857.143,1878,0,1878,21.5242,1,2
862.155,1878,0,1878,21.5242,1,2
867.168,1878,0,1878,21.5242,1,2
872.18,1878,0,1878,21.5242,1,2
877.193,1878,0,1878,21.5242,1,2
882.206,1878,0,1878,21.5242,1,2
887.218,1878,0,1878,21.5242,1,2
892.231,1878,0,1878,21.5242,1,2
897.243,1878,0,1878,21.5242,1,2
902.256,1878,0,1878,21.5242,1,2
907.268,1878,0,1878,21.5242,1,2
912.281,1878,0,1878,21.5242,1,2
917.293,1878,0,1878,21.5242,1,2
922.306,1878,0,1878,21.5242,1,2
927.318,1878,0,1878,21.5242,1,2
932.331,1878,0,1878,21.5242,1,2
937.343,1878,0,1878,21.5242,1,2
942.356,1878,0,1878,21.5242,1,2
947.368,1878,0,1878,21.5242,1,2
952.381,1878,0,1878,21.5242,1,2
957.393,1878,0,1878,21.5242,1,2
962.406,1878,0,1878,21.5242,1,2
967.419,1878,0,1878,21.5242,1,2
972.431,1878,0,1878,21.5242,1,2
977.444,1878,0,1878,21.5242,1,2
982.456,1878,0,1878,21.5242,1,2
987.469,1878,0,1878,21.5242,1,2
992.481,1878,0,1878,21.5242,1,2
997.494,1878,0,1878,21.5242,1,2
1002.51,1878,0,1878,21.5242,1,2
1007.52,1878,0,1878,21.5242,1,2
1012.53,1878,0,1878,21.5242,1,2
1017.54,1878,0,1878,21.5242,1,2
1022.56,1878,0,1878,21.5242,1,2
1027.57,1878,0,1878,21.5242,1,2
1032.58,1878,0,1878,21.5242,1,2
1037.59,1878,0,1878,21.5242,1,2
1042.61,1878,0,1878,21.5242,1,2
1047.62,1878,0,1878,21.5242,1,2
1052.63,1878,0,1878,21.5242,1,2
1057.64,1878,0,1878,21.5242,1,2
1062.66,1878,0,1878,21.5242,1,2
1067.67,1878,0,1878,21.5242,1,2
1072.68,1878,0,1878,21.5242,1,2
1077.69,1878,0,1878,21.5242,1,2
1082.71,1878,0,1878,21.5242,1,2
1087.72,1878,0,1878,21.5242,1,2
1092.73,1878,0,1878,21.5242,1,2
1097.74,1878,0,1878,21.5242,1,2
1102.76,1878,0,1878,21.5242,1,2
1107.77,1878,0,1878,21.5242,1,2
1112.78,1878,0,1878,21.5242,1,2
1117.79,1878,0,1878,21.5242,1,2
1122.81,1878,0,1878,21.5242,1,2
1127.82,1878,0,1878,21.5242,1,2
1132.83,1878,0,1878,21.5242,1,2
1137.84,1878,0,1878,21.5242,1,2
1142.86,1878,0,1878,21.5242,1,2
1147.87,1878,0,1878,21.5242,1,2
1152.88,1878,0,1878,21.5242,1,2
1157.89,1878,0,1878,21.5242,1,2
1162.91,1878,0,1878,21.5242,1,2
1167.92,1878,0,1878,21.5242,1,2
1172.93,1878,0,1878,21.5242,1,2
1177.94,1878,0,1878,21.5242,1,2
1182.96,1878,0,1878,21.5242,1,2
1187.97,1878,0,1878,21.5242,1,2
1192.98,1878,0,1878,21.5242,1,2
1197.99,1878,0,1878,21.5242,1,2
1203.01,1878,0,1878,21.5242,1,2
1208.02,1878,0,1878,21.5242,1,2
1213.03,1878,0,1878,21.5242,1,2
1218.05,1878,0,1878,21.5242,1,2
1223.06,1878,0,1878,21.5242,1,2
1228.07,1878,0,1878,21.5242,1,2
1233.08,1878,0,1878,21.5242,1,2
1238.1,1878,0,1878,21.5242,1,2
1243.11,1878,0,1878,21.5242,1,2
1248.12,1878,0,1878,21.5242,1,2
1253.13,1878,0,1878,21.5242,1,2
1258.15,1878,0,1878,21.5242,1,2
1263.16,1878,0,1878,21.5242,1,2
1268.17,1878,0,1878,21.5242,1,2
1273.18,1878,0,1878,21.5242,1,2
1278.2,1878,0,1878,21.5242,1,2
1283.21,1878,0,1878,21.5242,1,2
1288.22,1878,0,1878,21.5242,1,2
