X_um,Z_um,T_K
162.00,59.00,300.0
164.00,59.00,300.0
166.00,59.00,300.0
168.00,59.00,300.0
170.00,59.00,300.0
172.00,59.00,300.0
174.00,59.00,300.0
176.00,59.00,300.0
178.00,59.00,300.0
180.00,59.00,300.0
182.00,59.00,300.0
184.00,59.00,300.0
186.00,59.00,300.0
188.00,59.00,300.0
190.00,59.00,300.0
192.00,59.00,300.0
194.00,59.00,300.0
196.00,59.00,300.0
198.00,59.00,300.0
0.00,61.00,300.0
2.00,61.00,300.0
4.00,61.00,300.0
6.00,61.00,300.0
8.00,61.00,300.0
10.00,61.00,300.0
12.00,61.00,300.0
14.00,61.00,300.0
16.00,61.00,300.0
18.00,61.00,300.0
20.00,61.00,300.0
22.00,61.00,300.0
24.00,61.00,300.0
26.00,61.00,300.0
28.00,61.00,300.0
30.00,61.00,300.0
32.00,61.00,300.0
34.00,61.00,300.0
36.00,61.00,300.0
38.00,61.00,300.0
40.00,61.00,300.0
42.00,61.00,300.0
44.00,61.00,300.0
46.00,61.00,300.0
48.00,61.00,300.0
50.00,61.00,300.0
52.00,61.00,300.0
54.00,61.00,300.0
56.00,61.00,300.0
58.00,61.00,300.0
60.00,61.00,300.0
62.00,61.00,300.0
64.00,61.00,300.0
66.00,61.00,300.0
68.00,61.00,300.0
70.00,61.00,300.0
72.00,61.00,300.0
74.00,61.00,300.1
76.00,61.00,300.1
78.00,61.00,300.1
80.00,61.00,300.2
82.00,61.00,300.2
84.00,61.00,300.3
86.00,61.00,300.4
88.00,61.00,300.5
90.00,61.00,300.6
92.00,61.00,300.7
94.00,61.00,300.8
96.00,61.00,300.9
98.00,61.00,301.0
100.00,61.00,301.0
102.00,61.00,301.0
104.00,61.00,301.0
106.00,61.00,301.0
108.00,61.00,300.9
110.00,61.00,300.8
112.00,61.00,300.7
114.00,61.00,300.6
116.00,61.00,300.5
118.00,61.00,300.4
120.00,61.00,300.3
122.00,61.00,300.2
124.00,61.00,300.2
126.00,61.00,300.1
128.00,61.00,300.1
130.00,61.00,300.0
132.00,61.00,300.0
134.00,61.00,300.0
136.00,61.00,300.0
138.00,61.00,300.0
140.00,61.00,300.0
142.00,61.00,300.0
144.00,61.00,300.0
146.00,61.00,300.0
148.00,61.00,300.0
150.00,61.00,300.0
152.00,61.00,300.0
154.00,61.00,300.0
156.00,61.00,300.0
158.00,61.00,300.0
160.00,61.00,300.0
162.00,61.00,300.0
164.00,61.00,300.0
166.00,61.00,300.0
168.00,61.00,300.0
170.00,61.00,300.0
172.00,61.00,300.0
174.00,61.00,300.0
176.00,61.00,300.0
178.00,61.00,300.0
180.00,61.00,300.0
182.00,61.00,300.0
184.00,61.00,300.0
186.00,61.00,300.0
188.00,61.00,300.0
190.00,61.00,300.0
192.00,61.00,300.0
194.00,61.00,300.0
196.00,61.00,300.0
198.00,61.00,300.0
0.00,63.00,300.0
2.00,63.00,300.0
4.00,63.00,300.0
6.00,63.00,300.0
8.00,63.00,300.0
10.00,63.00,300.0
12.00,63.00,300.0
14.00,63.00,300.0
16.00,63.00,300.0
18.00,63.00,300.0
20.00,63.00,300.0
22.00,63.00,300.0
24.00,63.00,300.0
26.00,63.00,300.0
28.00,63.00,300.0
30.00,63.00,300.0
32.00,63.00,300.0
34.00,63.00,300.0
36.00,63.00,300.0
38.00,63.00,300.0
40.00,63.00,300.0
42.00,63.00,300.0
44.00,63.00,300.0
46.00,63.00,300.0
48.00,63.00,300.0
50.00,63.00,300.0
52.00,63.00,300.0
54.00,63.00,300.0
56.00,63.00,300.0
58.00,63.00,300.0
60.00,63.00,300.0
62.00,63.00,300.0
64.00,63.00,300.0
66.00,63.00,300.0
68.00,63.00,300.0
70.00,63.00,300.1
72.00,63.00,300.1
74.00,63.00,300.1
76.00,63.00,300.2
78.00,63.00,300.3
80.00,63.00,300.4
